#Timestamp Index Source_Key Target_Key Source_Xmin Source_Xmax Source_Ymin Source_Ymax Target_Xmin Target_Xmax Target_Ymin Target_Ymax IoU totalscore matchlabel isWithinImage isInFront
42.799999999 857 8286623314361712640 8142508126285856883 208.028594971 269.939544678 350.766204834 405.831878662 234.991950383 280.384663901 349.209395594 387.880852557 0.335376001 0.678662931 4 1 1
42.799999999 857 8286623314361712641 8142508126285856830 247.764732361 317.062294006 283.101409912 364.601409912 272.284552798 329.359817344 279.258085448 350.809852302 0.452528574 0.226900798 5 1 1
42.799999999 857 8286623314361712642 8142508126285856827 194.468139648 221.969909668 314.129180908 345.146026611 212.352606763 239.757019963 302.794689433 333.618024189 0.124102604 0.530250177 4 1 1
42.799999999 857 8286623314361712643 8142508126285856834 164.929199219 197.142089844 340.671844482 378.694793701 183.181724768 214.402518842 330.529051562 368.309787205 0.191146161 0.396733287 4 1 1
42.799999999 857 8286623314361712646 8142508126285856883 215.969726562 242.502075195 381.527954102 405.700622559 234.991950383 280.384663901 349.209395594 387.880852557 0.020310798 0.447842831 5 1 1
42.799999999 857 8286623314361712647 8142508126285856825 393.431671143 491.531646729 223.933525085 300.001106262 425.298905384 486.338617191 206.259600333 298.557944837 0.533313688 0.884251563 4 1 1
42.799999999 857 8286623314361712648 8142508126285856837 356.221008301 534.756652832 261.452850342 380.401336670 381.503549599 563.594724621 259.527961588 365.974606899 0.651116498 0.762532089 4 1 1
42.849999998 858 8286623314361712640 8142508126285856883 207.724479675 271.914436340 327.220977783 381.268951416 237.269017946 282.406929046 326.531490952 364.473064451 0.331664327 0.704864344 5 1 1
42.849999998 858 8286623314361712641 8142508126285856831 137.040390015 221.682937622 374.845733643 454.802642822 181.113631967 227.824633243 378.917572454 431.411722695 0.300367178 0.124259790 4 1 1
42.849999998 858 8286623314361712642 8142508126285856830 251.014739990 319.253326416 261.805847168 342.702636719 275.165962324 331.382671502 257.378603290 328.747783027 0.448447870 0.160757047 4 1 1
42.849999998 858 8286623314361712643 8142508126285856827 197.811386108 224.896713257 291.515655518 321.813934326 215.226353530 242.332675423 280.081116019 310.795113179 0.127111083 0.525289707 4 1 1
42.849999998 858 8286623314361712644 8142508126285856834 168.996078491 199.367324829 317.892944336 354.457092285 186.207177132 216.987109298 307.066998258 344.651794174 0.183870797 0.560466230 4 1 1
42.849999998 858 8286623314361712645 8142508126285856825 397.369384766 471.366638184 203.255126953 278.431793213 429.166357903 489.074782868 186.095184232 278.602819674 0.399940184 0.870350628 4 1 1
42.849999998 858 8286623314361712646 8142508126285856826 124.757034302 222.194717407 334.017456055 454.812500000 160.708742909 222.694811277 329.215230641 416.022156266 0.416407315 0.189802448 4 1 1
42.899999999 859 8286623314361712640 8142508126285856883 211.190155029 274.035919189 302.331146240 355.334442139 239.737909508 284.704807858 301.918064107 339.111157478 0.337113303 0.732714268 5 1 1
42.899999999 859 8286623314361712641 8142508126285856829 254.457702637 321.476257324 237.888824463 318.313629150 224.635170710 281.970982567 265.333167910 334.328047593 0.184791545 0.204946107 4 1 1
42.899999999 859 8286623314361712643 8142508126285856827 201.292861938 227.930648804 265.543151855 296.342651367 218.782911956 245.468582941 255.025270955 285.795297707 0.127214740 0.659413346 5 1 1
42.899999999 859 8286623314361712644 8142508126285856827 172.556121826 202.737121582 291.075958252 327.683135986 218.782911956 245.468582941 255.025270955 285.795297707 0.000000000 0.623580462 4 1 1
42.899999999 859 8286623314361712646 8142508126285856883 221.245819092 247.402832031 331.907379150 354.999481201 239.737909508 284.704807858 301.918064107 339.111157478 0.024858122 0.302685534 5 1 1
42.899999999 859 8286623314361712648 8142508126285856825 402.512329102 497.774780273 181.546936035 258.566528320 434.532855990 492.977271069 165.247546831 258.336195204 0.541384165 0.907506976 4 1 1
42.899999999 859 8286623314361712649 8142508126285856837 360.148437500 542.390563965 224.442481995 334.085899353 385.601848379 570.075487713 222.010115102 321.853228155 0.660388119 0.795103976 4 1 1
42.949999998 860 8286623314361712640 8142508126285856830 265.435211182 332.527679443 213.977539062 295.636749268 289.703112731 343.728927005 211.123898548 282.909351513 0.460885270 0.088262534 4 1 1
42.949999998 860 8286623314361712641 8142508126285856834 184.463500977 213.176513672 266.323577881 302.767303467 200.639449651 230.139589888 256.808115106 294.410885860 0.195242542 0.602719767 4 1 1
42.949999998 860 8286623314361712642 8142508126285856827 212.356155396 238.446212769 241.756286621 272.022155762 229.525254664 255.807310761 231.578340689 262.375977496 0.129987498 0.653137897 5 1 1
42.949999998 860 8286623314361712644 8142508126285856883 231.037750244 283.779388428 280.155029297 330.099548340 249.613499301 294.356607763 278.768386256 315.340264135 0.391784102 0.760134911 4 1 1
42.949999998 860 8286623314361712645 8142508126285856825 414.968444824 479.870788574 160.273117065 237.599563599 447.047141418 504.594725547 144.485561935 238.398976413 0.321893342 0.907651598 4 1 1
42.949999998 860 8286623314361712647 8142508126285856837 370.004531860 552.450790405 206.270935059 311.871948242 395.379669156 582.212407750 203.154053501 300.276939522 0.652001541 0.728288136 4 1 1
42.999999999 861 8286623314361712640 8142508126285856883 230.401153564 292.213104248 257.388549805 308.956787109 258.021583656 302.606795970 258.176850085 294.296363082 0.346617724 0.641658804 5 1 1
